patronBusqueda,multitienda,descripcion,precioPesos,precioUf
notebook hp,Falabella,Notebook HP ZBook Firefly G9 Intel Core i7 16GB...,1366990,37.88410593548791
notebook hp,Falabella,Notebook HP EliteBook 840 G8 Intel Core i5 16GB...,1289990,35.75016482616555
notebook hp,Falabella,Notebook Hp 15t-dw300 Black 15.6 I5-11va Gen...,699990,19.399187494994244
notebook hp,Falabella,"Ultrabook HP EliteBook 1040 G3 (i5 6200U, 8GB...",369990,10.253725597898429
notebook hp,Falabella,Notebook Hp 15.6 I3-11va Gen 8gb 256gb Ssd Plata...,529990,14.687888941944884
notebook hp,Falabella,Notebook Hp Pavilion 15.6 Ryzen 7 512gb Ssd 8gb...,789990,21.893404376020378
notebook hp,Falabella,Notebook Hp 15-ef1013 15.6 8gb 512gb Ssd Amd...,739990,20.507728331005858
notebook hp,Falabella,Notebook Hp Stream 14 Intel Celeron 4gb 64gb...,499990,13.856483314936174
notebook hp,Falabella,Notebook Hp 15.6 Ef2081ms Ryzen 7 256gb...,699990,19.399187494994244
notebook hp,Falabella,"Notebook HP 15.6"" Intel Core i3-11va gen 8GB...",519990,14.41075373294198
notebook hp,Falabella,"Notebook HP 15.6"" ryzen 5 5500U 8GB 256GB SSD...",619990,17.182105822971018
notebook hp,Falabella,"Notebook HP G7 240 Intel I3-10th /1TB/ Free Dos /14""",359990,9.976590388895524
notebook hp,Falabella,Notebook HP 240 G8 Core i3 4GB 1TB,499990,13.856483314936174
notebook hp,Falabella,NOTEBOOK HP 240 G8,499590,13.845397906576057
notebook hp,Falabella,Notebook Gamer HP Omen 16-c0502la R7 5800H...,1379990,38.244381707191685
notebook hp,Falabella,Notebook HP ProBook 450 G9 i5-1235u 8GB 512GB...,839990,23.279080421034894
notebook hp,Falabella,Notebook Hp Negra 14 Amd Athlon Silver 3050u...,399990,11.085131224907139
notebook hp,Falabella,HP Notebook 17-cn2003ca Core i5 12GB RAM 512GB...,559990,15.519294568953596
notebook hp,Falabella,Notebook HP 15-dw4047nr Core i5 8GB RAM 256SSD...,569990,15.796429777956499
notebook hp,Falabella,"Hp Elitebook 845 G8 14"" Ryzen 5 5600U 8GB RAM...",1186990,32.89567217343565
notebook hp,Falabella,"HP 240 G8 14"" i3-1115G4 8GB RAM 256GB SSD...",883990,24.49847534064767
notebook hp,Falabella,Hp Notebook 240 G8 I5-1135g7- 8gb / 512gb Ssd,489990,13.57934810593327
notebook hp,Falabella,HP Notebook 15-EF2528LA AMD Ryzen 5-5500U 8GB...,469990,13.025077687927464
notebook hp,Falabella,HP Notebook 14-DQ2508LA Intel Core...,349990,9.69945517989262
notebook hp,Falabella,HP Notebook 15-DY2501LA Intel Core i3...,679990,18.844917076988438
notebook hp,Falabella,Notebook Gamer Victus 16-D0515LA Intel Core...,999990,27.71324376508135
notebook hp,Falabella,Notebook Hp 14 Amd Athlon Dual-core 3020e...,329990,9.145184761886814
notebook hp,Falabella,Notebook HP Pavilion Plus i7-1255U RTX 2050 Ram...,849990,23.556215630037798
notebook hp,Falabella,"Notebook HP 240 G8 i3, 8GB RAM+ Candado para...",369990,10.253725597898429
notebook hp,Falabella,Notebook HP Pavilion Gamer15-ec1035la Ryzen...,709990,19.676322703997148
notebook hp,Falabella,HP Pavilion 14-DV2002LA Intel Core i5 12va Gen....,789990,21.893404376020378
notebook hp,Falabella,HP Pavilion x360 14-DY2003LA Intel Core i5...,599990,16.62783540496521
notebook hp,Falabella,"Notebook HP 255 G7 8GB 1TB HDD 15.6"" HD",329990,9.145184761886814
notebook hp,Falabella,NOTEBOOK HP PROBOOK 440 G7 INTEL CORE...,399900,11.082637008026113
notebook hp,Falabella,Notebook HP ProBook 440 G9 Intel Core i7 8GB RAM...,1097990,30.429168813309804
notebook hp,Falabella,"Notebook HP 250 G8 Intel Core i3-1115G4, 16GB...",429990,11.916536851915849
notebook hp,Falabella,Notebook HP Pavilion 15-eh0010la R7-4700U 8GB...,899990,24.941891675052315
notebook hp,Falabella,Notebook HP Pavilion 15 Ryzen 7 8GB 512GB SSD...,599990,16.62783540496521
notebook hp,Falabella,Notebook HP EliteBook 840 G8 Intel Core i7 16 GB...,1389990,38.521516916194585
notebook hp,Falabella,LAPTO AMD RYZEN 3 4300U / 256 GBSODIMM/...,799990,22.17053958502328
notebook hp,Falabella,Kit Notebook HP 240 G8 i3 - 8GB RAM + Audífonos...,399990,11.085131224907139
notebook hp,Falabella,HP Probook 440 G7 i3-10110U 4GB SSD 256GB...,669990,18.567781867985534
notebook hp,Falabella,Notebook Hp 245 G7 / Amd Ryzen 3 / 4gb Ram / Win 10,385990,10.697141932303074
notebook hp,Falabella,HP Probook 440 G7 i3-10110U 12GB SSD 256GB...,869990,24.110486048043605
notebook hp,Falabella,Notebook HP Gamer Omen 16-c0506la R7 5800H...,1369990,37.96724649818878
notebook hp,Falabella,Aio Hp 200 G4 Pentium J5040/ 4Gb/ 1Tb/ 21.5/...,599990,16.62783540496521
notebook hp,Falabella,NOTEBOOK HP ELITEBOOK 840 G5 14”...,409900,11.359772217029017
notebook hp,Falabella,Notebook HP Zbook power G8 15.6 pulg Intel core...,1789990,49.60692527631073
notebook hp,Falabella,"HP ProBook 640 G2 14"" HD, Core i5-6300U...",279990,7.759508716872296
notebook hp,Falabella,"ProBook 640 G4 14.0"" FHD Intel Core I5 1.6GHz 8GB...",329990,9.145184761886814
notebook hp,Falabella,Notebook HP Gamer Omen 16-c0500la R9 5900H...,1589990,44.06422109625266
notebook hp,Falabella,Notebook HP EliteBook 840 G8 I7-1165G7 8GB...,1298900,35.99709229738714
notebook hp,Falabella,HP Notebook 14-DQ2508LA Intel Core...,349990,9.69945517989262
